location_name,datetimeLocal,unit,no2,o3,pm10,pm25
Sheffield Devonshire Green - UKA00575,2024-01-21T00:02:00Z,µg/m³,9,59,4,2
Sheffield Devonshire Green - UKA00575,2024-01-21T00:03:00Z,µg/m³,9,61,4,3
Sheffield Devonshire Green - UKA00575,2024-01-21T00:04:00Z,µg/m³,4,63,4,3
Sheffield Devonshire Green - UKA00575,2024-01-21T00:05:00Z,µg/m³,4,64,4,3
Sheffield Devonshire Green - UKA00575,2024-01-21T00:06:00Z,µg/m³,3,64,4,3
Sheffield Devonshire Green - UKA00575,2024-01-21T00:07:00Z,µg/m³,3,64,4,3
Sheffield Devonshire Green - UKA00575,2024-01-21T00:08:00Z,µg/m³,3,64,5,3
Sheffield Devonshire Green - UKA00575,2024-01-21T00:09:00Z,µg/m³,3,65,5,3
Sheffield Devonshire Green - UKA00575,2024-01-21T00:10:00Z,µg/m³,4,65,5,3
Sheffield Devonshire Green - UKA00575,2024-01-21T00:11:00Z,µg/m³,4,65,5,3
Sheffield Devonshire Green - UKA00575,2024-01-21T00:12:00Z,µg/m³,5,65,5,3
Sheffield Devonshire Green - UKA00575,2024-01-21T00:13:00Z,µg/m³,4,65,5,3
Sheffield Devonshire Green - UKA00575,2024-01-21T00:14:00Z,µg/m³,7,64,5,3
Sheffield Devonshire Green - UKA00575,2024-01-21T00:15:00Z,µg/m³,12,63,6,3
Sheffield Devonshire Green - UKA00575,2024-01-21T00:16:00Z,µg/m³,17,60,6,3
Sheffield Devonshire Green - UKA00575,2024-01-21T00:17:00Z,µg/m³,24,56,7,4
Sheffield Devonshire Green - UKA00575,2024-01-21T00:18:00Z,µg/m³,24,52,7,4
Sheffield Devonshire Green - UKA00575,2024-01-21T00:19:00Z,µg/m³,18,49,7,4
Sheffield Devonshire Green - UKA00575,2024-01-21T00:20:00Z,µg/m³,11,48,7,4
Sheffield Devonshire Green - UKA00575,2024-01-21T00:21:00Z,µg/m³,10,46,7,4
Sheffield Devonshire Green - UKA00575,2024-01-21T00:22:00Z,µg/m³,11,44,7,4
Sheffield Devonshire Green - UKA00575,2024-01-21T00:23:00Z,µg/m³,11,43,7,4
Sheffield Devonshire Green - UKA00575,2024-02-21T00:00:00Z,µg/m³,18,42,7,4
Sheffield Devonshire Green - UKA00575,2024-02-21T00:02:00Z,µg/m³,2,49,7,4
Sheffield Devonshire Green - UKA00575,2024-02-21T00:03:00Z,µg/m³,2,50,7,4
Sheffield Devonshire Green - UKA00575,2024-02-21T00:04:00Z,µg/m³,2,56,7,4
Sheffield Devonshire Green - UKA00575,2024-02-21T00:05:00Z,µg/m³,2,56,7,4
Sheffield Devonshire Green - UKA00575,2024-02-21T00:06:00Z,µg/m³,4,61,7,4
Sheffield Devonshire Green - UKA00575,2024-02-21T00:07:00Z,µg/m³,17,62,7,4
Sheffield Devonshire Green - UKA00575,2024-02-21T00:08:00Z,µg/m³,24,63,8,4
Sheffield Devonshire Green - UKA00575,2024-02-21T00:09:00Z,µg/m³,13,65,8,4
Sheffield Devonshire Green - UKA00575,2024-02-21T00:10:00Z,µg/m³,18,62,8,5
Sheffield Devonshire Green - UKA00575,2024-02-21T00:11:00Z,µg/m³,41,56,8,5
Sheffield Devonshire Green - UKA00575,2024-02-21T00:12:00Z,µg/m³,47,49,8,5
Sheffield Devonshire Green - UKA00575,2024-02-21T00:13:00Z,µg/m³,43,43,8,5
Sheffield Devonshire Green - UKA00575,2024-02-21T00:14:00Z,µg/m³,47,38,8,5
Sheffield Devonshire Green - UKA00575,2024-02-21T00:15:00Z,µg/m³,35,36,8,5
Sheffield Devonshire Green - UKA00575,2024-02-21T00:16:00Z,µg/m³,28,37,7,5
Sheffield Devonshire Green - UKA00575,2024-02-21T00:17:00Z,µg/m³,20,37,7,4
Sheffield Devonshire Green - UKA00575,2024-02-21T00:18:00Z,µg/m³,15,39,6,4
Sheffield Devonshire Green - UKA00575,2024-02-21T00:20:00Z,µg/m³,32,48,6,4
Sheffield Devonshire Green - UKA00575,2024-02-21T00:22:00Z,µg/m³,23,53,6,4
Sheffield Devonshire Green - UKA00575,2024-02-21T00:23:00Z,µg/m³,23,54,6,4
Sheffield Devonshire Green - UKA00575,2024-03-21T00:00:00Z,µg/m³,5,56,6,4
Sheffield Devonshire Green - UKA00575,2024-03-21T00:02:00Z,µg/m³,4,57,6,4
Sheffield Devonshire Green - UKA00575,2024-03-21T00:03:00Z,µg/m³,4,55,NA,NA
Sheffield Devonshire Green - UKA00575,2024-03-21T00:04:00Z,µg/m³,7,58,6,4
Sheffield Devonshire Green - UKA00575,2024-03-21T00:05:00Z,µg/m³,7,59,6,4
Sheffield Devonshire Green - UKA00575,2024-03-21T00:06:00Z,µg/m³,19,56,6,4
Sheffield Devonshire Green - UKA00575,2024-03-21T00:07:00Z,µg/m³,19,54,6,4
Sheffield Devonshire Green - UKA00575,2024-03-21T00:08:00Z,µg/m³,23,50,6,4
Sheffield Devonshire Green - UKA00575,2024-03-21T00:09:00Z,µg/m³,30,45,6,4
Sheffield Devonshire Green - UKA00575,2024-03-21T00:10:00Z,µg/m³,33,40,5,4
Sheffield Devonshire Green - UKA00575,2024-03-21T00:11:00Z,µg/m³,35,35,5,4
Sheffield Devonshire Green - UKA00575,2024-03-21T00:12:00Z,µg/m³,33,31,5,3
Sheffield Devonshire Green - UKA00575,2024-03-21T00:13:00Z,µg/m³,29,29,5,3
Sheffield Devonshire Green - UKA00575,2024-03-21T00:14:00Z,µg/m³,25,29,5,3
Sheffield Devonshire Green - UKA00575,2024-03-21T00:15:00Z,µg/m³,25,28,5,3
Sheffield Devonshire Green - UKA00575,2024-03-21T00:16:00Z,µg/m³,25,28,5,3
Sheffield Devonshire Green - UKA00575,2024-03-21T00:17:00Z,µg/m³,25,28,5,3
Sheffield Devonshire Green - UKA00575,2024-03-21T00:18:00Z,µg/m³,24,32,5,3
Sheffield Devonshire Green - UKA00575,2024-03-21T00:19:00Z,µg/m³,19,35,5,3
Sheffield Devonshire Green - UKA00575,2024-03-21T00:20:00Z,µg/m³,14,38,5,3
Sheffield Devonshire Green - UKA00575,2024-03-21T00:22:00Z,µg/m³,13,42,5,3
Sheffield Devonshire Green - UKA00575,2024-03-21T00:23:00Z,µg/m³,13,43,5,3
Sheffield Devonshire Green - UKA00575,2024-04-21T00:00:00Z,µg/m³,21,43,5,3
Sheffield Devonshire Green - UKA00575,2024-04-21T00:02:00Z,µg/m³,8,44,5,3
Sheffield Devonshire Green - UKA00575,2024-04-21T00:03:00Z,µg/m³,8,43,5,3
Sheffield Devonshire Green - UKA00575,2024-04-21T00:04:00Z,µg/m³,9,42,5,3
Sheffield Devonshire Green - UKA00575,2024-04-21T00:05:00Z,µg/m³,9,42,5,3
Sheffield Devonshire Green - UKA00575,2024-04-21T00:06:00Z,µg/m³,11,41,5,3
Sheffield Devonshire Green - UKA00575,2024-04-21T00:07:00Z,µg/m³,6,42,4,3
Sheffield Devonshire Green - UKA00575,2024-04-21T00:08:00Z,µg/m³,13,43,4,3
Sheffield Devonshire Green - UKA00575,2024-04-21T00:09:00Z,µg/m³,10,46,4,3
Sheffield Devonshire Green - UKA00575,2024-04-21T00:10:00Z,µg/m³,12,46,4,3
Sheffield Devonshire Green - UKA00575,2024-04-21T00:11:00Z,µg/m³,16,46,4,3
Sheffield Devonshire Green - UKA00575,2024-04-21T00:12:00Z,µg/m³,20,46,4,3
Sheffield Devonshire Green - UKA00575,2024-04-21T00:13:00Z,µg/m³,16,47,5,3
Sheffield Devonshire Green - UKA00575,2024-04-21T00:14:00Z,µg/m³,17,47,6,3
Sheffield Devonshire Green - UKA00575,2024-04-21T00:15:00Z,µg/m³,20,45,7,3
Sheffield Devonshire Green - UKA00575,2024-04-21T00:16:00Z,µg/m³,31,42,7,4
Sheffield Devonshire Green - UKA00575,2024-04-21T00:17:00Z,µg/m³,43,37,8,4
Sheffield Devonshire Green - UKA00575,2024-04-21T00:18:00Z,µg/m³,45,31,9,4
Sheffield Devonshire Green - UKA00575,2024-04-21T00:19:00Z,µg/m³,42,26,9,5
Sheffield Devonshire Green - UKA00575,2024-04-21T00:20:00Z,µg/m³,42,21,11,6
Sheffield Devonshire Green - UKA00575,2024-04-21T00:21:00Z,µg/m³,40,15,12,7
Sheffield Devonshire Green - UKA00575,2024-04-21T00:22:00Z,µg/m³,38,10,14,8
Sheffield Devonshire Green - UKA00575,2024-04-21T00:23:00Z,µg/m³,38,5,14,9
Sheffield Devonshire Green - UKA00575,2024-05-21T00:00:00Z,µg/m³,34,3,16,10
Sheffield Devonshire Green - UKA00575,2024-05-21T00:02:00Z,µg/m³,14,7,17,11
Sheffield Devonshire Green - UKA00575,2024-05-21T00:03:00Z,µg/m³,14,7,18,11
Sheffield Devonshire Green - UKA00575,2024-05-21T00:04:00Z,µg/m³,8,18,18,11
Sheffield Devonshire Green - UKA00575,2024-05-21T00:05:00Z,µg/m³,8,21,18,12
Sheffield Devonshire Green - UKA00575,2024-05-21T00:06:00Z,µg/m³,6,31,18,11
Sheffield Devonshire Green - UKA00575,2024-05-21T00:07:00Z,µg/m³,8,38,18,11
Sheffield Devonshire Green - UKA00575,2024-05-21T00:08:00Z,µg/m³,11,43,18,11
Sheffield Devonshire Green - UKA00575,2024-05-21T00:09:00Z,µg/m³,12,43,18,12
Sheffield Devonshire Green - UKA00575,2024-05-21T00:10:00Z,µg/m³,15,44,18,12
Sheffield Devonshire Green - UKA00575,2024-05-21T00:11:00Z,µg/m³,18,44,18,12
Sheffield Devonshire Green - UKA00575,2024-05-21T00:12:00Z,µg/m³,14,44,18,12
Sheffield Devonshire Green - UKA00575,2024-05-21T00:13:00Z,µg/m³,15,43,17,11
Sheffield Devonshire Green - UKA00575,2024-05-21T00:14:00Z,µg/m³,20,42,16,11
